area_type,location,size,total_sqft,bath,balcony,price,no_of_bedrooms,price_per_sqft
Super built-up  Area,Hennur Road,2 BHK,1065,2,1,42.6,2,4000
Super built-up  Area,Hennur Road,3 BHK,1482,2,2,83.73,3,5649.797571
Super built-up  Area,Hennur Road,3 BHK,1482,2,1,87,3,5870.445344
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,139,3,7350.608144
Super built-up  Area,Hennur Road,3 BHK,1703,3,2,101,3,5930.710511
Super built-up  Area,Hennur Road,2 BHK,1232,2,0,69.61,2,5650.162338
Super built-up  Area,Hennur Road,2 BHK,987,2,1,49,2,4964.539007
Super built-up  Area,Hennur Road,3 BHK,1804,3,2,102,3,5654.101996
Built-up  Area,Hennur Road,3 BHK,2160,3,2,160,3,7407.407407
Super built-up  Area,Hennur Road,3 BHK,1186,2,1,63,3,5311.973019
Super built-up  Area,Hennur Road,3 BHK,1680,3,2,99.27,3,5908.928571
Super built-up  Area,Hennur Road,2 BHK,1065,2,1,42.6,2,4000
Super built-up  Area,Hennur Road,2 BHK,1385,2,1,83.09,2,5999.277978
Super built-up  Area,Hennur Road,3 BHK,1186,2,1,56,3,4721.753794
Super built-up  Area,Hennur Road,3 BHK,2350,3,2,174,3,7404.255319
Super built-up  Area,Hennur Road,3 BHK,1586,3,3,93.94,3,5923.076923
Super built-up  Area,Hennur Road,3 BHK,1975,3,3,123,3,6227.848101
Super built-up  Area,Hennur Road,3 BHK,1664,2,2,93.865,3,5640.925481
Super built-up  Area,Hennur Road,3 BHK,1290,2,1,94.5,3,7325.581395
Super built-up  Area,Hennur Road,2 BHK,901,2,1,49.5,2,5493.895671
Super built-up  Area,Hennur Road,3 BHK,1445,3,1,86.56,3,5990.311419
Super built-up  Area,Hennur Road,3 BHK,1482,2,3,97,3,6545.209177
Super built-up  Area,Hennur Road,2 BHK,1182,2,2,82.5,2,6979.695431
Super built-up  Area,Hennur Road,3 BHK,1192,2,1,62,3,5201.342282
Super built-up  Area,Hennur Road,2 BHK,1036,2,1,59.46,2,5739.382239
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,109,3,5764.145955
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,69.61,2,5650.162338
Super built-up  Area,Hennur Road,3 BHK,1804,3,2,102,3,5654.101996
Super built-up  Area,Hennur Road,3 BHK,2320,3,2,170,3,7327.586207
Super built-up  Area,Hennur Road,3 BHK,1936,3,1,118,3,6095.041322
Super built-up  Area,Hennur Road,2 BHK,1480,2,2,65,2,4391.891892
Super built-up  Area,Hennur Road,3 BHK,1590,3,2,96.5,3,6069.18239
Built-up  Area,Hennur Road,3 BHK,1445,2,1,105,3,7266.435986
Super built-up  Area,Hennur Road,2 BHK,1036,2,1,59.45,2,5738.416988
Super built-up  Area,Hennur Road,3 BHK,1832,3,1,125,3,6823.144105
Super built-up  Area,Hennur Road,2 BHK,1359,2,2,104,2,7652.685798
Super built-up  Area,Hennur Road,2 BHK,1341,2,1,75.76,2,5649.515287
Super built-up  Area,Hennur Road,2 BHK,1040,2,2,50,2,4807.692308
Super built-up  Area,Hennur Road,3 BHK,1685,3,2,95,3,5637.982196
Super built-up  Area,Hennur Road,2 BHK,1414,2,2,84.18,2,5953.323904
Super built-up  Area,Hennur Road,3 BHK,1949,3,1,133,3,6824.012314
Super built-up  Area,Hennur Road,2 BHK,1232,2,2,89,2,7224.025974
Super built-up  Area,Hennur Road,3 BHK,1250,2,1,77.88,3,6230.4
Super built-up  Area,Hennur Road,4 BHK,2502,4,2,180,4,7194.244604
Built-up  Area,Hennur Road,3 BHK,1831,3,1,110,3,6007.646095
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,87,2,7061.688312
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,74,2,6006.493506
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,66,2,5357.142857
Super built-up  Area,Hennur Road,2 BHK,1341,2,1,95,2,7084.265474
Plot  Area,Hennur Road,3 Bedroom,2700,3,2,150,3,5555.555556
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,88,2,7142.857143
Super built-up  Area,Hennur Road,3 BHK,2365,4,2,175,3,7399.577167
Super built-up  Area,Hennur Road,2 BHK,1310,2,1,66,2,5038.167939
Super built-up  Area,Hennur Road,3 BHK,1552,3,3,75,3,4832.474227
Built-up  Area,Hennur Road,2 BHK,1015,2,2,50,2,4926.108374
Super built-up  Area,Hennur Road,3 BHK,1186,2,2,55.33,3,4665.261383
Super built-up  Area,Hennur Road,3 BHK,2264,3,2,168,3,7420.4947
Super built-up  Area,Hennur Road,3 BHK,2002,3,2,120,3,5994.005994
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,69.6,2,5649.350649
Super built-up  Area,Hennur Road,2 BHK,1195,2,2,73,2,6108.786611
Super built-up  Area,Hennur Road,2 BHK,1020,2,3,47,2,4607.843137
Plot  Area,Hennur Road,5 Bedroom,5100,6,3,375,5,7352.941176
Super built-up  Area,Hennur Road,2 BHK,1061,2,1,54.92,2,5176.248822
Super built-up  Area,Hennur Road,3 BHK,1585,2,3,80,3,5047.318612
Built-up  Area,Hennur Road,2 BHK,1020,2,0,45,2,4411.764706
Super built-up  Area,Hennur Road,3 BHK,2041,3,3,128,3,6271.435571
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,87,2,7061.688312
Built-up  Area,Hennur Road,2 BHK,1066,2,1,52.23,2,4899.624765
Super built-up  Area,Hennur Road,2 BHK,973,2,1,56,2,5755.395683
Built-up  Area,Hennur Road,2 BHK,1255,2,1,84,2,6693.227092
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,83,2,6737.012987
Super built-up  Area,Hennur Road,3 BHK,1832,3,1,116,3,6331.877729
Super built-up  Area,Hennur Road,3 BHK,2050,3,2,120,3,5853.658537
Super built-up  Area,Hennur Road,3 BHK,1445,2,2,86.69,3,5999.307958
Super built-up  Area,Hennur Road,3 BHK,1445,2,1,83,3,5743.944637
Super built-up  Area,Hennur Road,3 BHK,1679,3,2,94.86,3,5649.791543
Super built-up  Area,Hennur Road,3 BHK,1482,2,1,68.9,3,4649.122807
Super built-up  Area,Hennur Road,3 BHK,1654,3,2,97.8,3,5912.938331
Super built-up  Area,Hennur Road,3 BHK,1480,3,2,100,3,6756.756757
Super built-up  Area,Hennur Road,3 BHK,1450,3,1,88.6,3,6110.344828
Super built-up  Area,Hennur Road,2 BHK,1155,2,1,69.18,2,5989.61039
Super built-up  Area,Hennur Road,2 BHK,1053,2,1,53,2,5033.238367
Super built-up  Area,Hennur Road,2 BHK,1195,2,2,59,2,4937.238494
Super built-up  Area,Hennur Road,3 BHK,1904,3,2,129,3,6775.210084
Super built-up  Area,Hennur Road,3 BHK,1981,3,1,134,3,6764.260475
Super built-up  Area,Hennur Road,2 BHK,1155,2,1,69.18,2,5989.61039
Built-up  Area,Hennur Road,4 Bedroom,2000,4,0,90,4,4500
Super built-up  Area,Hennur Road,3 BHK,1590,3,2,105,3,6603.773585
Super built-up  Area,Hennur Road,3 BHK,2041,3,3,138,3,6761.391475
Built-up  Area,Hennur Road,3 BHK,1100,2,1,78,3,7090.909091
Built-up  Area,Hennur Road,4 Bedroom,1880,4,0,154,4,8191.489362
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,69.61,2,5650.162338
Super built-up  Area,Hennur Road,3 BHK,1748,3,2,103,3,5892.448513
Built-up  Area,Hennur Road,2 BHK,1460,2,1,80.3,2,5500
Super built-up  Area,Hennur Road,3 BHK,1570,3,0,75.99,3,4840.127389
Super built-up  Area,Hennur Road,3 BHK,1933,3,2,140,3,7242.628039
Super built-up  Area,Hennur Road,2 BHK,1030,2,1,46.5,2,4514.563107
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,69.61,2,5650.162338
Super built-up  Area,Hennur Road,3 BHK,1450,3,2,79,3,5448.275862
Super built-up  Area,Hennur Road,3 BHK,1445,2,1,89.56,3,6197.923875
Super built-up  Area,Hennur Road,2 BHK,973,2,1,50.74,2,5214.799589
Super built-up  Area,Hennur Road,3 BHK,1482,2,1,83.73,3,5649.797571
Super built-up  Area,Hennur Road,3 BHK,1305,2,1,77,3,5900.383142
Super built-up  Area,Hennur Road,3 BHK,1672,3,2,86,3,5143.54067
Super built-up  Area,Hennur Road,2 BHK,1165,2,1,67,2,5751.072961
Super built-up  Area,Hennur Road,2 BHK,980,2,1,51,2,5204.081633
Super built-up  Area,Hennur Road,2 BHK,1232,2,1,80,2,6493.506494
Super built-up  Area,Hennur Road,2 BHK,1085,2,1,43.4,2,4000
Super built-up  Area,Hennur Road,2 BHK,950,2,1,55,2,5789.473684
Super built-up  Area,Hennur Road,2 BHK,1140,2,2,56,2,4912.280702
Super built-up  Area,Hennur Road,3 BHK,1891,3,1,110,3,5817.028027
Super built-up  Area,Hennur Road,3 BHK,1735,3,3,78,3,4495.677233
Super built-up  Area,Hennur Road,3 BHK,1470,2,1,75,3,5102.040816
Super built-up  Area,Hennur Road,2 BHK,1165,2,1,52,2,4463.519313
Built-up  Area,Hennur Road,2 BHK,1450,2,2,80,2,5517.241379
Super built-up  Area,Hennur Road,2 BHK,1155,2,1,69.18,2,5989.61039
Super built-up  Area,Hennur Road,3 BHK,1936,3,1,131,3,6766.528926
Built-up  Area,Hoodi,2 BHK,985,2,2,67,2,6802.030457
Super built-up  Area,Hoodi,3 BHK,1715,2,2,95,3,5539.358601
Super built-up  Area,Hoodi,4 BHK,2118,4,2,111,4,5240.793201
Built-up  Area,Hoodi,2 BHK,1425,2,2,80,2,5614.035088
Super built-up  Area,Hoodi,2 BHK,1420,2,2,75,2,5281.690141
Super built-up  Area,Hoodi,3 BHK,1639,3,2,110,3,6711.409396
Super built-up  Area,Hoodi,3 BHK,1606,3,3,89.55,3,5575.965131
Super built-up  Area,Hoodi,3 BHK,1639,3,1,98.32,3,5998.779744
Super built-up  Area,Hoodi,4 BHK,2090,4,0,95.1,4,4550.239234
Built-up  Area,Hoodi,4 Bedroom,2863,4,1,140,4,4889.97555
Super built-up  Area,Hoodi,3 BHK,1512,3,2,75.77,3,5011.243386
Super built-up  Area,Hoodi,2 BHK,1026,2,1,60.87,2,5932.748538
Super built-up  Area,Hoodi,2 BHK,1050,2,2,50,2,4761.904762
Super built-up  Area,Hoodi,2 BHK,1400,2,1,78,2,5571.428571
Plot  Area,Hoodi,5 Bedroom,2400,5,2,160,5,6666.666667
Super built-up  Area,Hoodi,2 BHK,1196,2,0,71.74,2,5998.327759
Super built-up  Area,Hoodi,3 BHK,1553,3,2,83.09,3,5350.289762
Built-up  Area,Hoodi,2 BHK,1500,2,1,84,2,5600
Super built-up  Area,Hoodi,2 BHK,1055,2,1,57.63,2,5462.559242
Super built-up  Area,Hoodi,3 BHK,1925,2,3,114,3,5922.077922
Super built-up  Area,Hoodi,2 BHK,1400,2,1,82,2,5857.142857
Super built-up  Area,Hoodi,3 BHK,1746,3,3,84.95,3,4865.406644
Super built-up  Area,Hoodi,1 BHK,706,1,1,48.24,1,6832.86119
Super built-up  Area,Hoodi,2 BHK,1257,2,1,69,2,5489.260143
Super built-up  Area,Hoodi,2 BHK,1132,2,0,67.9,2,5998.233216
Super built-up  Area,Hoodi,3 BHK,1925,3,3,110,3,5714.285714
Super built-up  Area,Hoodi,3 BHK,1769,3,3,96.87,3,5475.975127
Super built-up  Area,Hoodi,2 BHK,1257,2,1,71.03,2,5650.755768
Super built-up  Area,Hoodi,2 BHK,1305,2,1,75,2,5747.126437
Super built-up  Area,Hoodi,3 BHK,1490,3,2,79,3,5302.013423
Built-up  Area,Hoodi,2 BHK,1240,2,3,65,2,5241.935484
Built-up  Area,Hoodi,3 BHK,1370,3,2,67,3,4890.510949
Super built-up  Area,Hoodi,2 BHK,1108,2,1,74.23,2,6699.458484
Super built-up  Area,Hoodi,2 BHK,1257,2,1,68.5,2,5449.482896
Built-up  Area,Hoodi,2 BHK,1000,2,2,48,2,4800
Super built-up  Area,Hoodi,2 BHK,1063,2,1,61.17,2,5754.468485
Super built-up  Area,Hoodi,2 BHK,1259,2,2,69.45,2,5516.282764
Super built-up  Area,Hoodi,1 BHK,711,1,0,42.65,1,5998.59353
Super built-up  Area,Hoodi,3 BHK,1559,3,1,81.55,3,5230.917255
Super built-up  Area,Hoodi,1 BHK,863,1,0,40.55,1,4698.725377
Super built-up  Area,Hoodi,3 BHK,1715,2,2,100,3,5830.90379
Built-up  Area,Hoodi,3 BHK,1350,3,2,70,3,5185.185185
Super built-up  Area,Hoodi,2 BHK,1447,3,2,76,2,5252.246026
Super built-up  Area,Hoodi,3 BHK,2144,3,2,140,3,6529.850746
Super built-up  Area,Hoodi,2 BHK,1108,2,0,66.46,2,5998.194946
Built-up  Area,Hoodi,3 BHK,1400,3,2,74,3,5285.714286
Super built-up  Area,Hoodi,3 BHK,1837,3,1,110,3,5988.023952
Built-up  Area,Hoodi,4 Bedroom,3385,4,1,220,4,6499.261448
Super built-up  Area,Hoodi,3 BHK,1644,3,3,80.51,3,4897.201946
Super built-up  Area,Hoodi,2 BHK,1181,2,2,55,2,4657.070279
Built-up  Area,Hoodi,3 BHK,1490,3,0,85,3,5704.697987
Super built-up  Area,Hoodi,2 BHK,1258.5,2,0,59.135,2,4698.847835
Super built-up  Area,Horamavu Agara,2 BHK,1200,2,1,45,2,3750
Super built-up  Area,Horamavu Agara,3 BHK,1560,3,2,75,3,4807.692308
Built-up  Area,Horamavu Agara,2 BHK,755,2,1,37.49,2,4965.562914
Built-up  Area,Horamavu Agara,2 BHK,982,2,1,47.65,2,4852.342159
Super built-up  Area,Horamavu Agara,3 BHK,1650,2,1,75,3,4545.454545
Super built-up  Area,Horamavu Agara,2 BHK,950,2,3,39,2,4105.263158
Super built-up  Area,Horamavu Agara,3 BHK,1756,3,2,92,3,5239.179954
Built-up  Area,Horamavu Agara,2 BHK,1106,2,1,43.09,2,3896.0217
Super built-up  Area,Horamavu Agara,2 BHK,1079,2,2,41,2,3799.814643
Super built-up  Area,Horamavu Agara,3 BHK,1265,2,1,65,3,5138.339921
Super built-up  Area,Horamavu Agara,2 BHK,1060,2,1,37,2,3490.566038
Super built-up  Area,Horamavu Agara,2 BHK,1107.83,2,1,41.51,2,3746.964787
Built-up  Area,Horamavu Agara,2 BHK,980,2,1,38.19,2,3896.938776
Super built-up  Area,Horamavu Agara,3 BHK,1250,3,2,65,3,5200
Super built-up  Area,Horamavu Agara,2 BHK,1145,2,1,41.21,2,3599.126638
Plot  Area,Horamavu Agara,5 Bedroom,2400,3,3,80,5,3333.333333
Super built-up  Area,Horamavu Agara,2 BHK,1000,2,1,46,2,4600
Built-up  Area,Horamavu Agara,2 BHK,760,2,2,37.49,2,4932.894737
Super built-up  Area,Horamavu Agara,2 BHK,1150,2,1,42,2,3652.173913
Super built-up  Area,Horamavu Agara,3 BHK,1364,2,3,50,3,3665.68915
Built-up  Area,Horamavu Agara,2 BHK,750,2,1,37.49,2,4998.666667
Super built-up  Area,Horamavu Agara,1 BHK,625,1,1,27,1,4320
Built-up  Area,Horamavu Agara,2 BHK,1080,2,1,38,2,3518.518519
Super built-up  Area,Horamavu Agara,2 BHK,994,2,1,42.28,2,4253.521127
Super built-up  Area,Horamavu Agara,2 BHK,1107.83,2,1,41.51,2,3746.964787
Super built-up  Area,Horamavu Agara,3 BHK,1300,2,2,52,3,4000
Super built-up  Area,Horamavu Agara,2 BHK,1090,2,1,46,2,4220.183486
Built-up  Area,Horamavu Agara,3 Bedroom,1400,3,3,63,3,4500
Super built-up  Area,Horamavu Agara,3 BHK,1557,3,1,70,3,4495.825305
Super built-up  Area,Horamavu Agara,2 BHK,1058,2,2,47,2,4442.344045
Super built-up  Area,Horamavu Banaswadi,3 BHK,1554,3,2,55,3,3539.253539
Super built-up  Area,Horamavu Banaswadi,3 BHK,1611,3,3,66,3,4096.834264
Super built-up  Area,Horamavu Banaswadi,2 BHK,1460,2,1,80.5,2,5513.69863
Super built-up  Area,Horamavu Banaswadi,2 BHK,1156,2,2,46,2,3979.238754
Super built-up  Area,Horamavu Banaswadi,2 BHK,1180,2,2,58,2,4915.254237
Super built-up  Area,Horamavu Banaswadi,2 BHK,1307,2,2,51.6,2,3947.972456
Built-up  Area,Horamavu Banaswadi,6 Bedroom,3800,8,0,200,6,5263.157895
Super built-up  Area,Horamavu Banaswadi,2 BHK,1357,2,2,54,2,3979.366249
Super built-up  Area,Horamavu Banaswadi,2 BHK,925,2,3,38,2,4108.108108
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,48,2,3773.584906
Super built-up  Area,Horamavu Banaswadi,2 BHK,1225,2,2,49.5,2,4040.816327
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,51.5,2,4048.742138
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,51.5,2,4048.742138
Super built-up  Area,Horamavu Banaswadi,2 BHK,1156,2,2,46.9,2,4057.093426
Super built-up  Area,Horamavu Banaswadi,2 BHK,1200,2,1,45,2,3750
Super built-up  Area,Horamavu Banaswadi,2 BHK,1254,2,2,47,2,3748.00638
Super built-up  Area,Horamavu Banaswadi,3 BHK,1610,3,3,68,3,4223.602484
Super built-up  Area,Horamavu Banaswadi,2 BHK,1210,2,1,50,2,4132.231405
Super built-up  Area,Horamavu Banaswadi,2 BHK,1357,2,2,54,2,3979.366249
Super built-up  Area,Horamavu Banaswadi,2 BHK,1272,2,2,50,2,3930.81761
Super built-up  Area,Horamavu Banaswadi,2 BHK,1200,2,1,45,2,3750
Super built-up  Area,Horamavu Banaswadi,2 BHK,1025,2,2,45,2,4390.243902
Built-up  Area,Horamavu Banaswadi,2 BHK,1081,2,1,52,2,4810.360777
Super built-up  Area,Horamavu Banaswadi,2 BHK,1000,2,2,50,2,5000
Super built-up  Area,Hormavu,2 BHK,1500,2,1,78,2,5200
Super built-up  Area,Hormavu,2 BHK,1150,2,2,55,2,4782.608696
Built-up  Area,Hormavu,3 BHK,2100,3,2,73,3,3476.190476
Built-up  Area,Hormavu,2 BHK,1180,2,2,50,2,4237.288136
Plot  Area,Hormavu,2 Bedroom,1200,2,0,67,2,5583.333333
Plot  Area,Hormavu,2 Bedroom,1200,3,0,70,2,5833.333333
Super built-up  Area,Hormavu,2 BHK,1175,2,1,52,2,4425.531915
Super built-up  Area,Hormavu,1 BHK,1351,2,1,53,1,3923.019985
Super built-up  Area,Hormavu,2 BHK,1141,2,1,44.4,2,3891.323401
Super built-up  Area,Hormavu,2 BHK,1130,2,1,42.3,2,3743.362832
Super built-up  Area,Hormavu,3 BHK,1500,3,3,70,3,4666.666667
Built-up  Area,Hormavu,3 BHK,1725,3,2,85,3,4927.536232
Super built-up  Area,Hormavu,2 BHK,1153,2,1,65,2,5637.467476
Built-up  Area,Hormavu,2 BHK,1150,2,1,53.11,2,4618.26087
Super built-up  Area,Hormavu,2 BHK,1123,2,1,56,2,4986.642921
Super built-up  Area,Hormavu,3 BHK,1385,2,2,69,3,4981.949458
Super built-up  Area,Hormavu,3 BHK,1617.5,3,0,73.595,3,4549.92272
Super built-up  Area,Hormavu,2 BHK,1030,2,1,49.35,2,4791.262136
Super built-up  Area,Hormavu,2 BHK,1018,2,1,50.8,2,4990.176817
Super built-up  Area,Hormavu,3 BHK,1555,3,2,75,3,4823.151125
Super built-up  Area,Hormavu,2 BHK,1143,2,1,53,2,4636.920385
Super built-up  Area,Hormavu,2 BHK,1100,2,3,38,2,3454.545455
Built-up  Area,Hormavu,2 BHK,1000,2,2,50,2,5000
Super built-up  Area,Hormavu,2 BHK,1200,2,2,68,2,5666.666667
Super built-up  Area,Hormavu,3 BHK,1553,2,2,58.23,3,3749.517064
Super built-up  Area,Hormavu,2 BHK,1200,2,3,68,2,5666.666667
Super built-up  Area,Hormavu,2 BHK,765,2,1,37.49,2,4900.653595
Super built-up  Area,Hormavu,3 BHK,1420,3,2,58,3,4084.507042
Super built-up  Area,Hormavu,2 BHK,1081.5,2,0,38.665,2,3575.127138
Super built-up  Area,Hormavu,2 BHK,1250,2,2,60,2,4800
Super built-up  Area,Hormavu,2 BHK,965,2,2,37.15,2,3849.740933
Carpet  Area,Hormavu,1 BHK,583,1,0,28.275,1,4849.914237
Super built-up  Area,Hormavu,2 BHK,1129,2,1,44,2,3897.254207
Super built-up  Area,Hormavu,3 BHK,1385,2,1,69.25,3,5000
Super built-up  Area,Hormavu,2 BHK,1165,2,1,40,2,3433.476395
Super built-up  Area,Hormavu,2 BHK,1065,2,1,50.92,2,4781.220657
Super built-up  Area,Hormavu,2 BHK,1046,2,1,60,2,5736.137667
Super built-up  Area,Hormavu,2 BHK,1400,2,0,75,2,5357.142857
Super built-up  Area,Hormavu,3 BHK,1365,2,2,65,3,4761.904762
Super built-up  Area,Hormavu,2 BHK,1196,2,1,44.8,2,3745.819398
Super built-up  Area,Hormavu,2 BHK,1263,2,1,47.36,2,3749.802059
Super built-up  Area,Hormavu,2 BHK,1015,2,1,39.08,2,3850.246305
Super built-up  Area,Hormavu,3 BHK,1550,2,2,60,3,3870.967742
Plot  Area,Hormavu,2 Bedroom,1200,2,0,73,2,6083.333333
Super built-up  Area,Hormavu,2 BHK,1250,2,2,65,2,5200
Built-up  Area,Hormavu,3 BHK,1604,3,0,68,3,4239.401496
Super built-up  Area,Hormavu,2 BHK,1075,2,1,53.7,2,4995.348837
Super built-up  Area,Hormavu,2 BHK,980,2,2,42,2,4285.714286
Super built-up  Area,Hormavu,2 BHK,1075,2,1,53.7,2,4995.348837
Carpet  Area,Hormavu,4 BHK,2282,4,0,115,4,5039.439089
Super built-up  Area,Hormavu,2 BHK,1206,2,1,55,2,4560.53068
Super built-up  Area,Hormavu,2 BHK,1310,2,2,67,2,5114.503817
Super built-up  Area,Hormavu,2 BHK,1310,2,3,60,2,4580.152672
Super built-up  Area,Hormavu,2 BHK,1020,2,2,45.75,2,4485.294118
Super built-up  Area,Hormavu,2 BHK,1210,2,3,69,2,5702.479339
Super built-up  Area,Hosa Road,3 BHK,1652,3,2,85,3,5145.27845
Super built-up  Area,Hosa Road,3 BHK,1639,3,1,80,3,4881.025015
Super built-up  Area,Hosa Road,2 BHK,1161,2,1,55.15,2,4750.215332
Super built-up  Area,Hosa Road,3 BHK,1726,3,2,81.99,3,4750.289687
Super built-up  Area,Hosa Road,2 BHK,1161,2,1,55.15,2,4750.215332
Super built-up  Area,Hosa Road,2 BHK,1430,2,1,97.52,2,6819.58042
Super built-up  Area,Hosa Road,2 BHK,1365,2,1,92,2,6739.92674
Super built-up  Area,Hosa Road,2 BHK,1243,2,2,48.5,2,3901.850362
Super built-up  Area,Hosa Road,3 BHK,1541,3,1,69.84,3,4532.121999
Super built-up  Area,Hosa Road,3 BHK,1332,2,1,86.12,3,6465.465465
Super built-up  Area,Hosa Road,1 BHK,615,1,1,28.29,1,4600
Super built-up  Area,Hosa Road,3 BHK,1318,2,1,85.28,3,6470.409712
Super built-up  Area,Hosa Road,3 BHK,1513,3,1,103,3,6807.666887
Super built-up  Area,Hosa Road,2 BHK,1133,2,1,52,2,4589.585172
Super built-up  Area,Hosa Road,2 BHK,1016,2,2,40,2,3937.007874
Built-up  Area,Hosa Road,2 BHK,972,2,2,40,2,4115.226337
Super built-up  Area,Hosa Road,2 BHK,1161,2,1,55.15,2,4750.215332
Super built-up  Area,Hosa Road,3 BHK,1532,3,2,98.13,3,6405.35248
Super built-up  Area,Hosa Road,3 BHK,1680,3,1,101,3,6011.904762
Plot  Area,Hosa Road,2 Bedroom,880,2,0,50,2,5681.818182
Super built-up  Area,Hosa Road,3 BHK,1533,3,1,98.18,3,6404.435747
Super built-up  Area,Hosa Road,2 BHK,1040,2,1,68.59,2,6595.192308
Super built-up  Area,Hosa Road,2 BHK,1040,2,1,61,2,5865.384615
Built-up  Area,Hosa Road,3 Bedroom,2500,3,2,100,3,4000
Super built-up  Area,Hosa Road,2 BHK,1245,2,1,62,2,4979.919679
Super built-up  Area,Hosa Road,3 BHK,1311,2,1,84.86,3,6472.921434
Super built-up  Area,Hosa Road,3 BHK,1512,3,2,103,3,6812.169312
Super built-up  Area,Hosa Road,1 BHK,800,1,0,39.99,1,4998.75
Super built-up  Area,Hosa Road,3 BHK,1726,3,2,81.99,3,4750.289687
Super built-up  Area,Hosa Road,2 BHK,1364,2,1,64.79,2,4750
Super built-up  Area,Hosa Road,2 BHK,1016,2,1,45,2,4429.133858
Super built-up  Area,Hosa Road,3 BHK,1730,3,2,72.6,3,4196.531792
Super built-up  Area,Hosa Road,2 BHK,1360,2,1,77.61,2,5706.617647
Super built-up  Area,Hosa Road,2 BHK,1170,2,2,65,2,5555.555556
Super built-up  Area,Hosa Road,2 BHK,1161,2,1,55.15,2,4750.215332
Super built-up  Area,Hosa Road,3 BHK,1470,2,2,84.22,3,5729.251701
Super built-up  Area,Hosa Road,3 BHK,1513,3,1,103,3,6807.666887
Super built-up  Area,Hosa Road,4 BHK,1708,3,0,64.05,4,3750
Super built-up  Area,Hosa Road,2 BHK,1161,2,1,48.75,2,4198.966408
Super built-up  Area,Hosa Road,3 BHK,1893,3,2,130,3,6867.406233
Super built-up  Area,Hosa Road,3 BHK,1541,3,1,69.61,3,4517.196626
Super built-up  Area,Hosa Road,2 BHK,1016,2,1,39.95,2,3932.086614
Super built-up  Area,Hosakerehalli,3 BHK,2378,3,1,262,3,11017.6619
Super built-up  Area,Hosakerehalli,3 BHK,2376,3,1,203,3,8543.771044
Built-up  Area,Hosakerehalli,4 BHK,3205,5,1,380,4,11856.47426
Super built-up  Area,Hosakerehalli,4 BHK,3024,5,1,248,4,8201.058201
Super built-up  Area,Hosakerehalli,4 BHK,3024,5,1,350,4,11574.07407
Plot  Area,Hosakerehalli,5 Bedroom,2400,5,2,250,5,10416.66667
Super built-up  Area,Hosakerehalli,3 BHK,1817,4,2,153,3,8420.473308
Super built-up  Area,Hosakerehalli,2 BHK,1304,2,3,100,2,7668.711656
Super built-up  Area,Hosakerehalli,3 BHK,2480,3,2,245,3,9879.032258
Built-up  Area,Hosakerehalli,2 BHK,925,2,1,46.5,2,5027.027027
Super built-up  Area,Hosakerehalli,3 BHK,2480,4,1,260,3,10483.87097
Super built-up  Area,Hosakerehalli,3 BHK,1596,3,3,79.8,3,5000
Plot  Area,Hosakerehalli,3 Bedroom,1200,2,1,100,3,8333.333333
Super built-up  Area,Hosakerehalli,4 BHK,3205,4,2,300,4,9360.374415
Super built-up  Area,Hosakerehalli,4 BHK,3033,4,1,326,4,10748.43389
Plot  Area,Hosakerehalli,2 Bedroom,600,2,0,65,2,10833.33333
Super built-up  Area,Hosakerehalli,3 BHK,2480,4,1,265,3,10685.48387
Built-up  Area,Hosakerehalli,2 BHK,925,2,1,46.25,2,5000
Super built-up  Area,Hosakerehalli,3 BHK,2376,3,1,240,3,10101.0101
Plot  Area,Hosakerehalli,5 Bedroom,1500,6,2,145,5,9666.666667
Super built-up  Area,Hoskote,3 BHK,1250,3,2,50,3,4000
Super built-up  Area,Hoskote,3 BHK,1225,3,1,40,3,3265.306122
Super built-up  Area,Hoskote,3 BHK,1740,3,3,60,3,3448.275862
Super built-up  Area,Hoskote,2 BHK,1170,2,3,45,2,3846.153846
Super built-up  Area,Hoskote,3 BHK,1250,3,2,29,3,2320
Plot  Area,Hoskote,3 Bedroom,1200,3,2,57,3,4750
Super built-up  Area,Hoskote,3 BHK,1069,2,2,38,3,3554.724041
Super built-up  Area,Hoskote,2 BHK,1095,2,2,33.6,2,3068.493151
Super built-up  Area,Hoskote,3 BHK,1695,3,3,50,3,2949.852507
Built-up  Area,Hoskote,2 BHK,1065,2,3,31.5,2,2957.746479
Super built-up  Area,Hoskote,3 BHK,1395,2,2,63,3,4516.129032
Super built-up  Area,Hoskote,2 BHK,1065,2,2,28.5,2,2676.056338
